peso,altezza,bmi
2.97,1.09,2.5
3.41,0.88,4.41
51.52,2.34,9.41
2.41,0.67,5.37
121.56,0.46,574.49
414.21,0.45,2045.49
2.57,1.73,0.86
375.07,1.0,375.07
2.76,1.66,1.01
495.4,0.6,1376.12
3.61,0.63,9.1
500.0,1.0,500.0
2.52,1.0,2.52
2.4,0.71,4.77
2.94,2.25,0.59
39.43,2.5,6.31
2.63,1.86,0.77
2.57,0.8,4.02
500.0,0.51,1922.34
7.07,0.96,7.68
2.42,0.52,8.95
443.15,0.43,2396.71
3.61,0.79,5.79
2.61,1.2,1.82
20.16,0.45,99.56
2.6,0.59,7.47
2.56,2.26,0.51
423.35,0.54,1451.82
4.69,1.2,3.26
2.4,1.0,2.4
167.16,0.48,725.53
2.89,0.61,7.77
15.26,1.7,5.29
2.42,0.91,2.93
18.89,0.42,107.09
2.45,1.45,1.17
347.85,0.68,752.28
12.72,1.64,4.73
2.55,0.66,5.86
146.22,0.5,584.88
21.39,0.44,110.49
3.13,0.84,4.44
2.41,0.6,6.7
2.4,2.5,0.39
2.43,0.62,6.33
2.53,1.26,1.6
20.03,2.5,3.21
2.65,2.13,0.59
2.47,0.6,6.87
6.96,1.43,3.41
2.44,2.09,0.56
134.01,1.03,126.32
2.4,0.62,6.25
2.98,2.42,0.51
2.54,0.9,3.14
12.74,2.36,2.29
149.64,0.44,772.94
161.93,0.45,799.66
5.14,2.5,0.83
500.0,1.0,500.0
500.0,0.53,1780.0
3.01,1.95,0.8
2.42,1.39,1.26
2.66,1.23,1.76
2.56,2.5,0.41
37.56,0.57,115.61
3.07,0.97,3.27
500.0,0.4,3125.0
7.45,0.95,8.26
126.52,0.42,717.24
149.77,0.46,707.8
2.58,0.85,3.58
238.09,1.06,211.9
2.43,0.54,8.34
389.59,0.55,1287.91
4.57,1.0,4.57
2.94,2.09,0.68
300.05,0.57,923.52
2.53,1.26,1.6
12.82,1.19,9.06
4.6,1.79,1.44
2.49,0.78,4.1
3.21,1.07,2.81
13.06,2.4,2.27
454.6,0.44,2348.15
2.4,2.02,0.59
2.64,2.21,0.55
104.43,0.42,592.01
85.86,0.59,246.66
387.24,0.49,1612.83
288.3,0.45,1423.71
2.99,0.88,3.87
41.82,0.46,197.64
2.61,0.99,2.67
2.68,0.58,7.97
2.52,0.79,4.04
63.7,0.4,398.13
98.01,0.6,272.25
182.36,0.51,701.12
2.88,1.54,1.22
2.85,2.26,0.56
317.57,0.4,1984.82
2.65,1.19,1.88
2.91,1.71,1.0
2.82,1.84,0.84
11.19,2.5,1.8
88.85,1.04,82.15
257.34,0.61,691.59
17.23,1.33,9.75
65.54,0.57,201.73
2.64,2.43,0.45
2.46,0.53,8.76
4.64,0.96,5.04
56.72,0.55,187.51
500.0,2.43,84.68
370.7,0.73,695.63
2.5,2.5,0.4
7.57,1.44,3.66
38.5,0.4,240.63
5.82,0.86,7.87
5.77,1.0,5.77
28.5,0.44,147.22
249.42,1.0,249.42
2.6,0.61,6.99
19.46,0.43,105.25
3.53,2.47,0.58
4.04,0.97,4.3
500.0,0.46,2362.95
29.73,0.45,146.82
6.2,1.91,1.7
2.87,0.98,2.99
157.8,0.43,853.44
213.58,0.93,246.95
476.5,0.42,2701.25
2.4,0.67,5.35
3.05,1.55,1.27
26.76,0.55,88.47
186.52,0.45,921.09
2.92,1.14,2.25
418.62,0.57,1288.46
54.83,0.45,270.77
246.31,1.0,246.31
3.66,0.94,4.15
4.85,1.08,4.16
2.4,1.6,0.94
2.54,0.95,2.82
337.45,0.4,2109.07
4.26,2.48,0.7
2.65,0.55,8.77
2.43,2.14,0.54
3.49,1.61,1.35
500.0,2.34,91.32
3.46,1.43,1.7
2.49,2.4,0.44
50.94,0.52,188.39
3.91,1.66,1.42
2.46,1.83,0.74
31.82,0.45,157.14
51.59,0.46,243.81
52.28,0.49,217.75
2.53,1.41,1.28
50.6,0.62,131.64
409.76,1.12,326.66
5.45,1.89,1.53
14.25,0.4,89.07
157.2,0.96,170.58
45.07,0.4,281.69
2.59,0.76,4.49
6.71,1.22,4.51
3.32,1.59,1.32
2.41,0.8,3.77
274.91,0.87,363.21
77.82,0.86,105.22
4.24,2.19,0.89
248.44,0.93,287.25
154.1,1.07,134.6
3.45,1.46,1.62
2.59,1.01,2.54
500.0,1.74,165.15
109.93,0.98,114.47
17.41,2.34,3.18
427.97,1.06,380.9
7.01,0.93,8.11
2.49,2.41,0.43
2.4,0.82,3.57
18.89,2.4,3.28
52.87,0.52,195.53
119.88,0.88,154.81
393.53,0.4,2459.57
5.48,0.77,9.25
2.5,0.89,3.16
7.97,2.22,1.62
3.88,1.0,3.88
2.97,0.56,9.48
2.57,0.85,3.56
2.45,2.5,0.4
15.87,1.79,4.96
2.49,1.06,2.22
3.4,1.33,1.93
48.16,0.51,185.16
21.93,2.45,3.66
23.79,2.04,5.72
2.4,0.76,4.16
338.39,0.51,1301.0
4.08,0.93,4.72
9.03,2.46,1.5
2.49,1.11,2.03
33.13,0.53,117.95
207.0,0.4,1293.75
2.63,0.53,9.37
374.72,1.0,374.72
2.48,2.31,0.47
2.4,1.96,0.63
2.58,1.63,0.98
3.01,0.6,8.37
152.54,0.41,907.44
2.41,0.5,9.64
3.43,1.71,1.18
2.42,0.71,4.81
2.4,0.93,2.78
4.24,2.23,0.86
2.83,0.6,7.87
98.85,0.77,166.73
2.76,0.89,3.49
147.84,0.91,178.53
18.77,2.5,3.01
144.79,0.52,535.47
51.71,0.41,307.62
3.0,0.86,4.06
500.0,1.37,266.4
2.41,0.84,3.42
2.7,1.96,0.71
2.4,0.58,7.14
2.64,0.57,8.13
375.71,0.54,1288.45
453.61,0.42,2571.49
2.42,1.56,1.0
2.43,0.5,9.73
2.44,0.52,9.03
2.44,1.41,1.23
462.72,0.57,1424.2
2.61,0.54,8.96
3.05,0.88,3.94
353.64,0.4,2210.25
47.64,0.46,225.15
90.93,0.56,289.96
193.74,0.46,915.6
2.59,1.05,2.35
495.56,1.17,362.02
89.38,0.45,441.39
2.49,1.0,2.5
2.46,0.88,3.18
88.3,0.94,99.94
19.72,1.44,9.52
7.98,1.04,7.38
149.02,1.0,149.03
389.56,1.15,294.57
2.91,0.72,5.62
400.44,1.51,175.63
2.5,2.5,0.4
5.26,1.68,1.87
2.46,1.64,0.92
444.82,0.41,2646.17
495.76,0.4,3098.5
3.99,1.27,2.48
2.5,1.98,0.64
8.96,1.26,5.65
2.8,0.79,4.49
133.46,1.23,88.22
4.04,0.96,4.39
495.44,0.56,1579.85
2.43,1.06,2.17
2.45,0.76,4.25
105.81,0.59,303.97
2.43,1.48,1.11
3.25,2.26,0.64
74.83,0.62,194.67
402.92,1.09,339.13
90.14,0.54,309.13
13.13,2.03,3.19
393.11,1.01,385.37
4.23,1.46,1.99
35.22,0.41,209.52
2.9,1.32,1.67
2.55,0.9,3.15
161.99,0.91,195.62
2.41,0.6,6.7
2.58,2.02,0.64
4.13,0.75,7.35
2.4,1.86,0.7
369.07,0.57,1135.95
2.4,2.11,0.54
4.62,0.73,8.67
440.12,0.53,1566.83
2.42,2.02,0.6
2.92,0.68,6.32
14.82,0.4,92.63
2.45,0.54,8.41
39.29,0.5,157.16
42.76,0.41,254.38
2.58,2.44,0.44
3.09,1.04,2.86
47.63,0.42,270.02
251.51,0.6,698.64
500.0,0.81,762.08
2.4,0.6,6.67
4.06,0.93,4.7
2.69,1.11,2.19
3.0,0.9,3.71
2.51,0.6,6.98
112.61,0.59,323.5
482.17,2.03,117.01
3.31,0.67,7.38
6.05,0.95,6.71
2.44,1.81,0.75
2.43,0.61,6.54
96.76,0.73,181.58
2.64,2.05,0.63
36.53,0.43,197.57
3.08,0.97,3.28
2.67,1.0,2.67
2.93,0.6,8.14
2.75,0.83,4.0
500.0,2.0,125.0
2.59,0.91,3.13
2.5,1.01,2.46
2.68,0.55,8.86
2.89,1.0,2.89
2.62,0.62,6.82
2.4,1.52,1.04
3.41,2.13,0.76
2.57,0.95,2.85
500.0,0.44,2582.65
4.56,2.37,0.82
3.93,1.16,2.93
190.75,1.09,160.56
2.65,0.55,8.77
2.98,0.68,6.45
2.59,1.58,1.04
22.76,2.45,3.8
2.78,0.76,4.82
3.04,1.04,2.82
371.21,1.17,271.18
500.0,0.86,676.05
320.2,1.07,279.68
8.99,1.06,8.01
5.58,2.5,0.9
100.88,0.66,231.59
362.56,0.51,1393.93
2.59,1.37,1.38
186.65,0.73,350.26
381.19,1.17,278.47
103.95,0.42,589.29
2.46,2.37,0.44
3.77,1.88,1.07
23.48,0.42,133.11
2.44,0.63,6.15
2.57,0.71,5.1
146.33,0.49,609.46
2.56,1.08,2.2
9.69,1.0,9.69
108.91,1.06,96.93
3.18,0.59,9.14
30.55,0.49,127.24
5.5,2.27,1.07
9.51,1.44,4.59
453.23,2.14,98.97
472.35,0.51,1816.04
8.42,1.97,2.17
262.05,0.4,1637.82
7.69,1.0,7.69
13.9,1.78,4.39
119.46,0.94,135.2
2.43,1.4,1.24
88.68,0.91,107.09
2.43,0.99,2.48
26.17,0.45,129.24
7.4,1.38,3.89
2.87,1.13,2.25
2.54,0.68,5.5
2.94,1.57,1.2
54.35,0.8,84.93
5.34,1.17,3.91
3.04,1.96,0.8
2.71,1.58,1.09
2.44,1.0,2.44
24.68,2.06,5.82
2.8,0.87,3.7
5.03,1.83,1.51
2.44,0.83,3.55
125.34,0.42,710.55
191.7,0.81,292.19
3.93,0.75,6.99
2.54,0.55,8.4
3.89,1.15,2.95
2.41,0.85,3.34
2.5,0.59,7.19
157.44,0.87,208.01
2.54,0.62,6.61
4.48,0.87,5.92
329.62,0.47,1492.17
3.05,0.95,3.38
5.24,1.8,1.62
2.44,1.56,1.01
495.84,0.44,2561.16
2.9,0.66,6.66
375.48,1.6,146.68
25.18,0.44,130.07
5.18,2.09,1.19
2.42,2.36,0.44
10.26,1.02,9.87
306.8,0.99,313.03
2.46,0.77,4.15
3.8,1.67,1.37
500.0,1.53,213.6
51.21,2.43,8.68
2.43,1.74,0.81
405.45,0.5,1621.8
2.76,2.14,0.61
3.71,0.75,6.6
6.36,0.8,9.94
2.83,1.04,2.62
374.06,0.68,808.96
4.32,1.56,1.78
133.81,0.75,237.89
3.89,1.0,3.89
30.04,0.52,111.1
14.8,2.17,3.15
183.42,0.45,905.78
2.43,0.87,3.22
6.61,0.84,9.37
125.34,1.09,105.5
435.28,0.44,2248.35
2.4,0.85,3.33
7.02,1.4,3.59
2.44,0.94,2.77
2.93,1.4,1.5
2.48,1.0,2.48
2.61,0.98,2.72
3.87,0.79,6.21
211.12,0.48,916.32
2.69,0.54,9.23
2.65,0.91,3.21
90.69,0.67,202.03
7.33,1.9,2.04
2.85,1.04,2.64
2.4,0.65,5.69
3.98,1.04,3.68
2.56,0.55,8.47
236.4,0.45,1167.41
255.58,0.6,709.95
500.0,0.74,913.08
2.44,0.6,6.78
3.84,1.43,1.88
500.0,0.4,3125.0
2.43,0.55,8.04
