peso,altezza,bmi
3.57,0.4,22.32
5.13,0.55,16.96
2.99,0.44,15.45
4.23,0.52,15.65
158.81,1.72,53.69
2.68,0.5,10.72
2.58,0.44,13.33
7.84,0.62,20.4
239.74,1.99,60.54
3.39,0.43,18.34
34.44,1.15,26.05
3.56,0.4,22.25
2.54,0.49,10.58
37.68,0.98,39.24
6.06,0.58,18.02
7.46,0.71,14.8
11.45,0.46,54.12
2.43,0.47,11.01
5.01,0.47,22.68
2.57,0.44,13.28
2.59,0.41,15.41
15.87,1.09,13.36
16.55,0.94,18.74
3.03,0.42,17.18
2.8,0.43,15.15
2.4,0.4,15.0
4.18,0.49,17.41
2.41,0.45,11.91
18.8,1.0,18.8
2.6,0.4,16.25
6.22,0.47,28.16
35.14,1.01,34.45
16.19,0.56,51.63
482.55,2.5,77.21
9.56,0.41,56.88
6.6,0.4,41.25
7.89,0.44,40.76
2.75,0.43,14.88
134.9,2.18,28.39
25.76,0.73,48.34
13.03,0.45,64.35
47.1,1.94,12.52
500.0,2.5,80.0
2.44,0.45,12.05
21.11,0.72,40.73
2.49,0.43,13.47
13.33,0.77,22.49
39.17,1.07,34.22
4.24,0.42,24.04
44.17,2.04,10.62
4.37,0.65,10.35
29.1,1.0,29.1
35.35,1.62,13.47
7.3,0.59,20.98
3.85,0.45,19.02
2.8,0.46,13.24
7.59,0.79,12.17
320.24,2.27,62.15
2.47,0.4,15.44
7.06,0.41,42.0
265.82,2.35,48.14
2.6,0.46,12.29
200.71,1.65,73.73
2.75,0.42,15.59
4.15,0.57,12.78
2.51,0.5,10.04
5.64,0.55,18.65
29.06,1.53,12.42
4.13,0.42,23.42
3.79,0.4,23.69
2.84,0.44,14.67
18.28,1.05,16.59
2.88,0.42,16.33
58.84,2.18,12.39
16.24,0.95,18.0
6.02,0.5,24.08
15.69,0.52,58.03
2.6,0.42,14.74
2.99,0.51,11.5
35.52,1.38,18.66
54.33,1.39,28.12
2.75,0.44,14.21
2.4,0.43,12.98
15.13,0.83,21.97
3.07,0.46,14.51
3.31,0.57,10.19
75.38,2.19,15.72
8.5,0.47,38.48
5.02,0.58,14.93
12.78,0.56,40.76
2.6,0.43,14.07
2.69,0.4,16.82
6.39,0.61,17.18
3.95,0.41,23.5
15.07,0.46,71.22
3.03,0.45,14.97
3.57,0.47,16.17
13.9,0.59,39.94
3.74,0.58,11.12
2.78,0.46,13.14
23.24,0.75,41.32
53.61,0.9,66.19
7.69,0.73,14.44
2.58,0.46,12.2
6.77,0.62,17.62
2.97,0.42,16.84
4.33,0.45,21.39
2.61,0.41,15.53
2.74,0.5,10.96
3.9,0.46,18.44
3.78,0.5,15.12
111.11,1.28,67.82
13.93,0.6,38.7
6.74,0.62,17.54
6.72,0.4,42.0
2.56,0.47,11.59
4.91,0.59,14.11
304.49,2.44,51.15
4.02,0.44,20.77
2.43,0.4,15.19
6.08,0.74,11.11
2.45,0.42,13.89
6.94,0.65,16.43
25.68,1.03,24.21
20.64,0.99,21.06
35.19,1.05,31.92
4.88,0.47,22.1
17.12,0.48,74.31
4.21,0.41,25.05
8.85,0.64,21.61
8.91,0.53,31.72
4.37,0.4,27.32
2.46,0.47,11.14
12.7,0.87,16.78
26.56,1.18,19.08
2.51,0.5,10.04
18.72,0.61,50.31
12.89,0.6,35.81
16.41,0.83,23.83
5.66,0.71,11.23
2.47,0.4,15.44
7.33,0.43,39.65
301.89,2.45,50.3
12.33,0.45,60.89
38.96,0.99,39.76
86.9,1.62,33.12
307.72,2.16,65.96
5.56,0.62,14.47
17.33,0.49,72.18
358.22,2.5,57.32
2.63,0.42,14.91
6.69,0.45,33.04
15.17,0.6,42.14
131.86,1.45,62.72
6.59,0.48,28.61
5.85,0.5,23.4
436.07,2.4,75.71
107.17,1.71,36.66
331.58,2.5,53.06
3.83,0.49,15.96
19.6,0.59,56.31
6.91,0.8,10.8
4.8,0.41,28.56
19.17,0.51,73.71
8.74,0.45,43.17
488.26,2.48,79.39
24.13,1.21,16.49
2.45,0.41,14.58
3.68,0.45,18.18
13.88,0.51,53.37
3.35,0.46,15.84
25.13,1.23,16.62
2.9,0.4,18.13
3.57,0.5,14.28
5.32,0.46,25.15
2.49,0.45,12.3
5.32,0.64,12.99
8.15,0.61,21.91
18.42,0.93,21.3
4.28,0.41,25.47
86.59,1.26,54.55
4.38,0.41,26.06
2.97,0.41,17.67
256.28,2.49,41.34
4.08,0.56,13.02
18.7,0.57,57.56
2.44,0.43,13.2
9.55,0.62,24.85
32.54,0.69,68.35
4.06,0.47,18.38
2.5,0.4,15.63
6.97,0.62,18.14
2.42,0.41,14.4
2.59,0.44,13.38
2.53,0.4,15.82
310.09,2.5,49.62
500.0,2.5,80.0
16.84,0.81,25.67
16.14,0.95,17.89
129.5,2.36,23.26
7.04,0.46,33.28
17.85,0.8,27.9
4.11,0.43,22.23
2.55,0.47,11.55
2.54,0.46,12.01
30.16,1.02,28.99
13.58,0.83,19.72
10.93,1.01,10.72
5.29,0.61,14.22
2.75,0.42,15.59
4.18,0.4,26.13
2.4,0.45,11.86
2.48,0.41,14.76
109.84,2.5,17.58
4.17,0.4,26.07
17.24,0.55,57.0
3.07,0.4,19.19
2.72,0.44,14.05
3.58,0.42,20.3
6.24,0.58,18.55
2.42,0.48,10.51
40.19,1.61,15.51
43.65,0.85,60.42
2.67,0.44,13.8
2.46,0.47,11.14
8.33,0.42,47.23
2.43,0.49,10.13
6.09,0.76,10.55
133.55,2.44,22.44
2.45,0.47,11.1
56.2,1.45,26.74
7.16,0.47,32.42
2.6,0.44,13.43
61.62,2.05,14.67
402.63,2.43,68.19
218.1,2.46,36.05
60.31,1.19,42.59
49.24,1.05,44.67
81.77,1.71,27.97
22.06,0.58,65.58
24.72,1.54,10.43
2.59,0.44,13.38
11.59,1.0,11.59
2.47,0.42,14.01
12.78,0.4,79.88
3.34,0.44,17.26
2.79,0.4,17.44
88.1,1.08,75.54
2.44,0.4,15.25
2.58,0.47,11.68
2.48,0.4,15.5
4.39,0.44,22.68
2.45,0.46,11.58
2.44,0.41,14.52
9.1,0.62,23.68
9.38,0.73,17.61
9.12,0.55,30.15
83.03,2.27,16.12
53.28,1.73,17.81
10.74,0.41,63.9
2.54,0.41,15.12
2.54,0.41,15.12
3.39,0.45,16.75
38.18,1.59,15.11
2.5,0.46,11.82
7.33,0.41,43.61
146.12,1.83,43.64
386.71,2.5,61.88
3.1,0.48,13.46
133.15,2.22,27.02
2.61,0.4,16.32
5.98,0.4,37.38
2.4,0.45,11.86
41.71,0.73,78.27
135.5,2.28,26.07
42.34,1.54,17.86
107.23,2.5,17.16
130.17,1.85,38.04
5.05,0.47,22.87
40.9,1.66,14.85
23.27,1.03,21.94
145.76,2.12,32.44
19.63,0.54,67.32
7.96,0.85,11.02
2.41,0.46,11.39
37.64,1.19,26.59
2.58,0.41,15.35
51.2,1.04,47.34
37.7,1.05,34.2
2.48,0.41,14.76
21.84,0.57,67.23
34.53,1.43,16.89
2.46,0.47,11.14
19.9,0.59,57.17
2.52,0.45,12.45
126.67,1.41,63.72
2.88,0.43,15.58
5.05,0.4,31.57
15.29,0.74,27.93
2.78,0.44,14.36
101.8,2.34,18.6
39.78,1.07,34.75
15.46,0.69,32.48
3.87,0.44,19.99
11.37,0.42,64.46
11.91,0.5,47.64
2.4,0.45,11.86
2.42,0.42,13.72
2.44,0.42,13.84
3.0,0.43,16.23
67.13,2.44,11.28
18.81,0.88,24.29
2.41,0.43,13.04
2.63,0.42,14.91
49.71,1.09,41.84
5.46,0.45,26.97
2.48,0.47,11.23
2.45,0.41,14.58
15.82,1.0,15.82
2.58,0.45,12.75
14.43,0.94,16.34
5.84,0.73,10.96
2.44,0.42,13.84
2.42,0.41,14.4
15.04,0.85,20.82
6.16,0.64,15.04
2.93,0.48,12.72
9.06,0.52,33.51
2.53,0.43,13.69
2.44,0.4,15.25
15.31,0.6,42.53
2.64,0.51,10.15
11.59,0.47,52.47
2.52,0.48,10.94
3.31,0.45,16.35
3.2,0.47,14.49
2.46,0.43,13.31
3.89,0.5,15.56
2.9,0.49,12.08
95.63,2.38,16.89
2.85,0.47,12.91
3.17,0.56,10.11
3.26,0.41,19.4
2.48,0.46,11.73
14.36,0.58,42.69
5.03,0.66,11.55
3.92,0.51,15.08
112.46,1.42,55.78
5.88,0.48,25.53
3.03,0.43,16.39
8.11,0.74,14.82
2.83,0.47,12.82
48.08,1.38,25.25
2.44,0.4,15.25
2.59,0.44,13.38
9.51,0.4,59.44
2.65,0.4,16.57
2.5,0.43,13.53
2.46,0.44,12.71
48.68,1.92,13.21
8.74,0.46,41.31
